traffic_volume,weather,speed,accident,congestion_level
1379,clear,54.1973,0,medium
1683,clear,48.2313,0,high
1214,fog,42.7131,0,medium
1850,snow,16.1047,0,high
579,clear,75.0821,0,low
1760,clear,56.3385,0,high
535,clear,83.6278,0,low
954,clear,72.0796,0,medium
723,clear,75.6069,0,medium
948,clear,76.0754,0,medium
578,clear,87.8438,0,low
557,rain,60.6366,0,low
319,clear,94.5923,0,low
804,fog,49.6512,0,medium
440,rain,74.5242,0,low
1154,rain,52.3028,0,medium
1029,clear,64.4244,0,medium
1463,clear,60.9133,0,high
1955,clear,37.5575,0,high
437,rain,70.0943,0,low
1504,clear,48.8334,0,high
123,clear,98.2414,0,low
965,fog,46.0828,0,medium
1363,clear,48.3231,0,medium
609,rain,63.8407,0,medium
288,clear,96.7777,1,low
851,clear,71.5209,0,medium
1951,fog,10.0,0,high
514,clear,78.2467,0,low
971,clear,74.4298,0,medium
1036,snow,33.9021,0,medium
1060,clear,71.7361,0,medium
400,clear,90.5276,0,low
1422,rain,36.7388,0,high
838,clear,79.0248,0,medium
646,clear,81.1019,0,medium
1073,clear,69.6112,0,medium
717,clear,68.9419,0,medium
1963,clear,36.9139,0,high
467,clear,79.5523,0,low
1362,clear,63.3892,0,medium
479,fog,66.2459,0,low
1447,fog,24.1126,0,high
1294,fog,36.4021,0,medium
1327,fog,38.8107,0,medium
704,snow,46.3452,0,medium
902,clear,76.2518,0,medium
513,clear,87.8863,0,low
1322,rain,46.7922,0,medium
942,clear,66.7628,0,medium
1147,rain,57.3539,0,medium
1171,clear,80.2001,0,medium
952,clear,71.3926,0,medium
1910,rain,34.5297,0,high
1408,clear,67.6034,0,high
239,clear,98.4655,0,low
699,clear,75.2077,0,medium
364,fog,62.3305,0,low
892,clear,68.487,0,medium
1461,clear,54.3296,0,high
954,rain,56.8506,0,medium
1483,rain,44.9471,0,high
1838,rain,25.7208,0,high
377,clear,88.5622,0,low
1028,snow,35.3375,0,medium
1393,clear,61.6907,0,medium
1677,snow,10.1174,1,high
678,clear,80.0833,0,medium
1075,fog,48.3942,0,medium
1849,clear,42.1559,0,high
1976,clear,36.6359,0,high
493,clear,80.4497,0,low
712,rain,63.638,0,medium
116,clear,93.6965,0,low
320,rain,85.4232,0,low
247,rain,76.3806,0,low
346,clear,94.942,0,low
233,clear,95.4189,0,low
919,clear,70.5424,0,medium
447,fog,59.6016,0,low
1422,clear,56.2738,0,high
863,rain,67.3814,0,medium
1457,clear,51.5665,0,high
1366,clear,52.0677,0,medium
182,fog,69.0089,0,low
108,clear,99.3614,0,low
583,clear,91.8659,0,low
1553,clear,50.866,0,high
1681,clear,47.3192,0,high
929,fog,44.1258,0,medium
1053,clear,69.5848,0,medium
1514,rain,40.5703,0,high
416,clear,99.1876,0,low
1935,clear,38.2496,0,high
237,clear,97.2439,0,low
1572,rain,39.0119,0,high
